name,id,sis,term,groupCategories
Survey of Accounting,36544,C.Online.2019.Winter.ACCTG 180.10,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36546,C.Online.2019.Winter.ACCTG 180.11,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,37324,C.Online.2019.Winter.ACCTG 180.12,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,39060,C.Online.2019.Winter.ACCTG 180.13,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,38626,C.Online.2019.Winter.ACCTG 180.14,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36534,C.Online.2019.Winter.ACCTG 180.5,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36536,C.Online.2019.Winter.ACCTG 180.6,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36538,C.Online.2019.Winter.ACCTG 180.7,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36540,C.Online.2019.Winter.ACCTG 180.8,Winter 2019,Introduction Group|ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36542,C.Online.2019.Winter.ACCTG 180.9,Winter 2019,ACCTG 180 9th Discussion Group|ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Financial Accounting,37048,C.Online.2019.Winter.ACCTG 201.10,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37050,C.Online.2019.Winter.ACCTG 201.11,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37052,C.Online.2019.Winter.ACCTG 201.12,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37054,C.Online.2019.Winter.ACCTG 201.13,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37056,C.Online.2019.Winter.ACCTG 201.14,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37058,C.Online.2019.Winter.ACCTG 201.15,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37060,C.Online.2019.Winter.ACCTG 201.16,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37062,C.Online.2019.Winter.ACCTG 201.17,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Managerial Accounting,35470,C.Online.2019.Winter.ACCTG 202.8,Winter 2019,ACCTG 202 Study Group|
Accounting Software,35814,C.Online.2019.Winter.ACCTG 205.1,Winter 2019,ACCTG 205 Final Project Partnership|ACCTG 205 (1st half) Discussion Group|ACCTG 205 (2nd half) Discussion Group|
Accounting Software,35816,C.Online.2019.Winter.ACCTG 205.2,Winter 2019,ACCTG 205 Final Project Partnership|ACCTG 205 (1st half) Discussion Group|ACCTG 205 (2nd half) Discussion Group|
Accounting Software,35818,C.Online.2019.Winter.ACCTG 205.3,Winter 2019,ACCTG 205 Final Project Partnership|ACCTG 205 (1st half) Discussion Group|ACCTG 205 (2nd half) Discussion Group|
Accounting Software,35820,C.Online.2019.Winter.ACCTG 205.4,Winter 2019,ACCTG 205 Final Project Partnership|ACCTG 205 (1st half) Discussion Group|ACCTG 205 (2nd half) Discussion Group|
Accounting Software,35822,C.Online.2019.Winter.ACCTG 205.5,Winter 2019,ACCTG 205 Final Project Partnership|ACCTG 205 (1st half) Discussion Group|ACCTG 205 (2nd half) Discussion Group|
Entrepreneurship in Agribusiness,35548,C.Online.2019.Winter.AGBUS 105.1,Winter 2019,Group|
Intro to Cultural Anthropology,35824,C.Online.2019.Winter.ANTH 101.2,Winter 2019,ANTH 101 Discussion (W05-07) Groups|ANTH 101 Discussion (W08-10) Groups|ANTH 101 Discussion (W02-04) Groups|ANTH 101 Discussion (W11-13) Groups|
Intro to Cultural Anthropology,35826,C.Online.2019.Winter.ANTH 101.3,Winter 2019,ANTH 101 Discussion (W05-07) Groups|ANTH 101 Discussion (W08-10) Groups|ANTH 101 Discussion (W02-04) Groups|ANTH 101 Discussion (W11-13) Groups|
Intro to Cultural Anthropology,35828,C.Online.2019.Winter.ANTH 101.4,Winter 2019,Nacirema|pcintrone|Disciples|Group 3|Nephites|ANTH 101 Discussion (W05-07) Groups|ANTH 101 Discussion (W08-10) Groups|ANTH 101 Discussion (W02-04) Groups|ANTH 101 Discussion (W11-13) Groups|
Introduction to Graphic Design,35694,C.Online.2019.Winter.ART 130.4,Winter 2019,
Typography,35830,C.Online.2019.Winter.ART 230.2,Winter 2019,
Typography,35832,C.Online.2019.Winter.ART 230.3,Winter 2019,
Typography,35834,C.Online.2019.Winter.ART 230.4,Winter 2019,
Typography,35836,C.Online.2019.Winter.ART 230.5,Winter 2019,Discussion Board Groups|
Typography,35838,C.Online.2019.Winter.ART 230.6,Winter 2019,
Intro to Automotive Tech,35840,C.Online.2019.Winter.AUTO 125.1,Winter 2019,
Intro to Automotive Tech,35842,C.Online.2019.Winter.AUTO 125.2,Winter 2019,
Intro to Automotive Tech,35844,C.Online.2019.Winter.AUTO 125.3,Winter 2019,
Intro to Automotive Tech,35846,C.Online.2019.Winter.AUTO 125.4,Winter 2019,
Electrical Systems,35550,C.Online.2019.Winter.AUTO 131.2,Winter 2019,
Engine Performance,35554,C.Online.2019.Winter.AUTO 132.2,Winter 2019,AUTO 132 Debrief Discussion Group|
Chassis Systems,35552,C.Online.2019.Winter.AUTO 155.2,Winter 2019,AUTO 155 W02–W06 Discussion Group|AUTO 155 W07–W13 Discussion Group|
Drivetrains,35696,C.Online.2019.Winter.AUTO 201.1,Winter 2019,AUTO 201 Video Presentation Discussion Group|
Vehicle Electronics,39062,C.Online.2019.Winter.AUTO 231.2,Winter 2019,Weekly Discussion Group|
Sales & Customer Relations,35556,C.Online.2019.Winter.B 120.1,Winter 2019,B 120 W03-07 Discussion Group|B 120 Debate Group|B 120 W08-13 Discussion Group|
Office Procedures,35558,C.Online.2019.Winter.B 129.2,Winter 2019,B 129 Discussion Group|B 129 Study Groups|
Intro. to Entrepreneurship,36146,C.Online.2019.Winter.B 183.10,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,39058,C.Online.2019.Winter.B 183.11,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,36136,C.Online.2019.Winter.B 183.4,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,36138,C.Online.2019.Winter.B 183.5,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,36140,C.Online.2019.Winter.B 183.6,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,36142,C.Online.2019.Winter.B 183.7,Winter 2019,B 183 Discussion Group|
Intro. to Entrepreneurship,36144,C.Online.2019.Winter.B 183.9,Winter 2019,B 183 Discussion Group|
Introduction to Finance,36148,C.Online.2019.Winter.B 201.2,Winter 2019,B 201 Stock Market Game Support Group|B 201 W07 Discussion Group|B 201 W09 Discussion Group|B 201 W12 Discussion Group|
Introduction to Finance,36150,C.Online.2019.Winter.B 201.3,Winter 2019,B 201 Stock Market Game Support Group|B 201 W07 Discussion Group|B 201 W09 Discussion Group|B 201 W12 Discussion Group|
Introduction to Finance,36152,C.Online.2019.Winter.B 201.4,Winter 2019,B 201 Stock Market Game Support Group|B 201 W07 Discussion Group|B 201 W09 Discussion Group|B 201 W12 Discussion Group|
Introduction to Finance,39064,C.Online.2019.Winter.B 201.5,Winter 2019,B 201 Stock Market Game Support Group|B 201 W07 Discussion Group|B 201 W09 Discussion Group|B 201 W12 Discussion Group|
Business Fundamentals,39066,C.Online.2019.Winter.B 211.18,Winter 2019,B 211 CapSim Teams|
Business Fundamentals,35698,C.Online.2019.Winter.B 211.9,Winter 2019,B 211 CapSim Teams|
Word Processing I,35560,C.Online.2019.Winter.B 240.1,Winter 2019,Sections|
Word Processing I,37626,C.Online.2019.Winter.B 240.3,Winter 2019,
Word Processing II,35562,C.Online.2019.Winter.B 241.3,Winter 2019,Section Group|Set #01|
Web Business Creation,36154,C.Online.2019.Winter.B 250.2,Winter 2019,B 250 Discussion Group|
Web Business Creation,36156,C.Online.2019.Winter.B 250.3,Winter 2019,B 250 Discussion Group|
Web Business Creation,36158,C.Online.2019.Winter.B 250.4,Winter 2019,B 250 Discussion Group|
Web Business Creation,36160,C.Online.2019.Winter.B 250.5,Winter 2019,B 250 Discussion Group|
Web Business Creation,36162,C.Online.2019.Winter.B 250.6,Winter 2019,B 250 Discussion Group|
Web Business Creation,36164,C.Online.2019.Winter.B 250.7,Winter 2019,B 250 Discussion Group|
Web Business Creation,36166,C.Online.2019.Winter.B 250.8,Winter 2019,B 250 Discussion Group|
Business Law,35564,C.Online.2019.Winter.B 275.5,Winter 2019,B 275 Concept Groups|
Small Business Creation,36168,C.Online.2019.Winter.B 283.2,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36170,C.Online.2019.Winter.B 283.3,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36172,C.Online.2019.Winter.B 283.4,Winter 2019,Discussion Groups|B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36174,C.Online.2019.Winter.B 283.5,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36176,C.Online.2019.Winter.B 283.6,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36178,C.Online.2019.Winter.B 283.7,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36180,C.Online.2019.Winter.B 283.8,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Small Business Creation,36182,C.Online.2019.Winter.B 283.9,Winter 2019,B 283 Discussion Group A|B 283 Discussion Group B|B 283 You Be the Consultant Group|
Financial Management,36184,C.Online.2019.Winter.B 301.2,Winter 2019,B 301 Case Group|
Financial Management,36186,C.Online.2019.Winter.B 301.3,Winter 2019,B 301 Case Group|
Financial Management,36188,C.Online.2019.Winter.B 301.4,Winter 2019,Sections|B 301 Case Group|
Financial Management,36190,C.Online.2019.Winter.B 301.5,Winter 2019,B 301 Case Group|
Financial Management,36192,C.Online.2019.Winter.B 301.6,Winter 2019,Discussion Board Groups|B 301 Case Group|
Financial Management,36194,C.Online.2019.Winter.B 301.7,Winter 2019,B 301 Case Group|
Financial Management,36196,C.Online.2019.Winter.B 301.8,Winter 2019,Discussions|B 301 Case Group|
Financial Management,39068,C.Online.2019.Winter.B 301.9,Winter 2019,B 301 Case Group|
Adv Writing in Pro Contexts,36208,C.Online.2019.Winter.B 320.10,Winter 2019,
Adv Writing in Pro Contexts,36210,C.Online.2019.Winter.B 320.11,Winter 2019,
Adv Writing in Pro Contexts,36212,C.Online.2019.Winter.B 320.12,Winter 2019,
Adv Writing in Pro Contexts,36214,C.Online.2019.Winter.B 320.13,Winter 2019,
Adv Writing in Pro Contexts,36216,C.Online.2019.Winter.B 320.14,Winter 2019,
Adv Writing in Pro Contexts,36218,C.Online.2019.Winter.B 320.15,Winter 2019,
Adv Writing in Pro Contexts,36220,C.Online.2019.Winter.B 320.16,Winter 2019,
Adv Writing in Pro Contexts,37326,C.Online.2019.Winter.B 320.17,Winter 2019,
Adv Writing in Pro Contexts,36222,C.Online.2019.Winter.B 320.18,Winter 2019,
Adv Writing in Pro Contexts,39070,C.Online.2019.Winter.B 320.19,Winter 2019,
Adv Writing in Pro Contexts,36224,C.Online.2019.Winter.B 320.20,Winter 2019,
Adv Writing in Pro Contexts,36198,C.Online.2019.Winter.B 320.5,Winter 2019,
Adv Writing in Pro Contexts,36200,C.Online.2019.Winter.B 320.6,Winter 2019,
Adv Writing in Pro Contexts,36202,C.Online.2019.Winter.B 320.7,Winter 2019,
Adv Writing in Pro Contexts,36204,C.Online.2019.Winter.B 320.8,Winter 2019,Elevator Speech Groups|
Adv Writing in Pro Contexts,36206,C.Online.2019.Winter.B 320.9,Winter 2019,
Organizational Effectiveness,35566,C.Online.2019.Winter.B 321.3,Winter 2019,B 321 Study Groups|
Social Media Marketing,38582,C.Online.2019.Winter.B 351.4,Winter 2019,Platform Pitches|Case Study Discussion|
Social Media Marketing,38584,C.Online.2019.Winter.B 351.5,Winter 2019,Platform Pitches|Case Study Discussion|
Social Media Marketing,38586,C.Online.2019.Winter.B 351.6,Winter 2019,Platform Pitches|Case Study Discussion|
Intro to International Business,35848,C.Online.2019.Winter.B 380.3,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35850,C.Online.2019.Winter.B 380.4,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35852,C.Online.2019.Winter.B 380.5,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35854,C.Online.2019.Winter.B 380.6,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35856,C.Online.2019.Winter.B 380.7,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35858,C.Online.2019.Winter.B 380.8,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Intro to International Business,35860,C.Online.2019.Winter.B 380.9,Winter 2019,B 380 Discussion Group|B 380 Project Group|
Launching New Ventures,35802,C.Online.2019.Winter.B 383.2,Winter 2019,B 383 Business Group |
Launching New Ventures,35804,C.Online.2019.Winter.B 383.3,Winter 2019,B 383 Business Group |
Launching New Ventures,35806,C.Online.2019.Winter.B 383.4,Winter 2019,B 383 Business Group |
Launching New Ventures,35808,C.Online.2019.Winter.B 383.5,Winter 2019,B 383 Business Group|
Launching New Ventures,35810,C.Online.2019.Winter.B 383.6,Winter 2019,B 383 Business Group |
Personal Finance,35700,C.Online.2019.Winter.B 433.2,Winter 2019,
Personal Finance,37632,C.Online.2019.Winter.B 433.4,Winter 2019,
Financing New Ventures,35574,C.Online.2019.Winter.B 475.2,Winter 2019,Discussion Groups|B 475 Business Plan Groups|
Financing New Ventures,35576,C.Online.2019.Winter.B 475.3,Winter 2019,Discusion Group 5|Discussion Group 4|Discussion Group 3|Discussion Group 2|Discussion Group 1|Discussion Groups|B 475 Business Plan Group|
General Microbiology,37202,C.Online.2019.Winter.BIO 221.4,Winter 2019,BIO 221 Disease Presentation Group|BIO 221 Topic Discussion Group|
General Microbiology,37204,C.Online.2019.Winter.BIO 221.5,Winter 2019,BIO 221 Disease Presentation Group|BIO 221 Topic Discussion Group|
Human Biology,35862,C.Online.2019.Winter.BIO 230.4,Winter 2019,BIO 230 Study Partnerships|
Human Biology,35864,C.Online.2019.Winter.BIO 230.5,Winter 2019,BIO 230 Study Partnerships|
Human Biology,35866,C.Online.2019.Winter.BIO 230.6,Winter 2019,BIO 230 Study Partnerships|
Human Biology,35868,C.Online.2019.Winter.BIO 230.7,Winter 2019,BIO 230 Study Partnerships|
Pathophysiology,37618,C.Online.2019.Winter.BIO 381.4,Winter 2019,BIO 381 Case Studies Groups|
Evolutionary Science,35578,C.Online.2019.Winter.BIO 475.4,Winter 2019,BIO 475 Discussion: Screencasts W02-03 Group|BIO 475 Discussion: Screencasts W05-07 Group|BIO 475 Discussion: Screencasts W09-11 Group|BIO 475 Discussion: The Church & Evolution Group|
Business Applications,38588,C.Online.2019.Winter.BUS 115.1,Winter 2019,Winter 2019|
Business Applications,38590,C.Online.2019.Winter.BUS 115.3,Winter 2019,
Introductory General Chemistry,35580,C.Online.2019.Winter.CHEM 101.9,Winter 2019,
Intro General Chemistry Lab,35582,C.Online.2019.Winter.CHEM 101L.3,Winter 2019,
Infant and Toddler Development,35870,C.Online.2019.Winter.CHILD 300.3,Winter 2019,CHILD 300 Discussion Group|
Infant and Toddler Development,35872,C.Online.2019.Winter.CHILD 300.4,Winter 2019,CHILD 300 Discussion Group|
Infant and Toddler Development,35874,C.Online.2019.Winter.CHILD 300.5,Winter 2019,CHILD 300 Discussion Group|
Infant and Toddler Development,37696,C.Online.2019.Winter.CHILD 300.6,Winter 2019,CHILD 300 Discussion Group|
Early/Middle Development,35702,C.Online.2019.Winter.CHILD 310.2,Winter 2019,CHILD 310 Discussion - Group|
Web Frontend Development,36226,C.Online.2019.Winter.CIT 230.14,Winter 2019,
Web Frontend Development,36228,C.Online.2019.Winter.CIT 230.15,Winter 2019,
Web Frontend Development,36230,C.Online.2019.Winter.CIT 230.16,Winter 2019,
Web Frontend Development,36232,C.Online.2019.Winter.CIT 230.17,Winter 2019,
Web Frontend Development,36234,C.Online.2019.Winter.CIT 230.18,Winter 2019,
Web Frontend Development,36236,C.Online.2019.Winter.CIT 230.19,Winter 2019,
Web Frontend Development,36238,C.Online.2019.Winter.CIT 230.20,Winter 2019,
Web Frontend Development,39368,C.Online.2019.Winter.CIT 230.21,Winter 2019,
Web Frontend Development,37328,C.Online.2019.Winter.CIT 230.22,Winter 2019,
Networking,39072,C.Online.2019.Winter.CIT 240.11,Winter 2019,
Networking,36240,C.Online.2019.Winter.CIT 240.4,Winter 2019,
Networking,36242,C.Online.2019.Winter.CIT 240.5,Winter 2019,
Networking,36244,C.Online.2019.Winter.CIT 240.6,Winter 2019,
Networking,36246,C.Online.2019.Winter.CIT 240.7,Winter 2019,
Networking,36248,C.Online.2019.Winter.CIT 240.8,Winter 2019,Discussion Board Group|
Network Design I,35704,C.Online.2019.Winter.CIT 241.3,Winter 2019,
Network Design I,35706,C.Online.2019.Winter.CIT 241.5,Winter 2019,
Object Oriented Programming,37376,C.Online.2019.Winter.CIT 260.5,Winter 2019,Pair Programming|
Object Oriented Programming,37378,C.Online.2019.Winter.CIT 260.6,Winter 2019,Pair Programming|
Object Oriented Programming,37380,C.Online.2019.Winter.CIT 260.7,Winter 2019,Pair Programming|
Object Oriented Programming,37382,C.Online.2019.Winter.CIT 260.8,Winter 2019,Pair Programming|
Object Oriented Programming,37384,C.Online.2019.Winter.CIT 260.9,Winter 2019,Pair Programming|
Mobile Application Development,36250,C.Online.2019.Winter.CIT 261.2,Winter 2019,CIT 261 Programing Team|
Mobile Application Development,36252,C.Online.2019.Winter.CIT 261.3,Winter 2019,CIT 261 Programing Team|
Mobile Application Development,36254,C.Online.2019.Winter.CIT 261.4,Winter 2019,CIT 261 Programing Team|
Mobile Application Development,36256,C.Online.2019.Winter.CIT 261.5,Winter 2019,CIT 261 Programing Team|
Systems Security I,35876,C.Online.2019.Winter.CIT 270.3,Winter 2019,CIT 270 Case Project Groups|
Systems Security I,35878,C.Online.2019.Winter.CIT 270.4,Winter 2019,CIT 270 Case Project Groups|
Systems Security I,35880,C.Online.2019.Winter.CIT 270.5,Winter 2019,CIT 270 Case Project Groups|
Systems Security I,35882,C.Online.2019.Winter.CIT 270.6,Winter 2019,Discussion Groups|CIT 270 Case Project Groups|
Systems Security I,39292,C.Online.2019.Winter.CIT 270.7,Winter 2019,CIT 270 Case Project Groups|
Database Programming,36258,C.Online.2019.Winter.CIT 325.2,Winter 2019,CIT 325 Presentation Group|
Database Programming,36260,C.Online.2019.Winter.CIT 325.3,Winter 2019,CIT 325 Presentation Group|
Web Backend Development,35708,C.Online.2019.Winter.CIT 336.2,Winter 2019,Learning Teams|
Operating Systems I,36262,C.Online.2019.Winter.CIT 352.2,Winter 2019,CIT 352 Question and Answer Forum|CIT 352 Partners|CIT 352 Hands-On Project Group|
Operating Systems I,36264,C.Online.2019.Winter.CIT 352.3,Winter 2019,CIT 352 Question and Answer Forum|CIT 352 Partners|CIT 352 Hands-On Project Group|
Operating Systems I,36266,C.Online.2019.Winter.CIT 352.4,Winter 2019,CIT 352 Question and Answer Forum|CIT 352 Partners|CIT 352 Hands-On Project Group|
Operating Systems II,39074,C.Online.2019.Winter.CIT 353.2,Winter 2019,CIT 353 Project Group|Teach One Another|
Operating Systems II,38592,C.Online.2019.Winter.CIT 353.3,Winter 2019,CIT 353 Project Group|Teach One Another|
Object-Oriented Software Develop,36268,C.Online.2019.Winter.CIT 360.2,Winter 2019,CIT 360 Groups|
Object-Oriented Software Develop,36270,C.Online.2019.Winter.CIT 360.3,Winter 2019,CIT 360 Groups|
.NET Software Development,35710,C.Online.2019.Winter.CIT 365.2,Winter 2019,CIT 365 Paired Programming|
Project Management,38620,C.Online.2019.Winter.CIT 380.4,Winter 2019,Structured Path|
Project Management,38622,C.Online.2019.Winter.CIT 380.5,Winter 2019,Structured Path|
Project Management,38624,C.Online.2019.Winter.CIT 380.6,Winter 2019,Structured Path|
Hardware Technician,38594,C.Online.2019.Winter.CITBC 102.1,Winter 2019,
Writing for Communication Career,36272,C.Online.2019.Winter.COMM 111.13,Winter 2019,
Writing for Communication Career,36274,C.Online.2019.Winter.COMM 111.14,Winter 2019,
Mass Media and Society,36276,C.Online.2019.Winter.COMM 140.5,Winter 2019,COMM 140 W02-06|COMM 140 W07-12|
Mass Media and Society,36278,C.Online.2019.Winter.COMM 140.6,Winter 2019,Comm 140 WK_03|COMM 140 W02-06|COMM 140 W07-12|
Interpersonal Theory & Practice,36280,C.Online.2019.Winter.COMM 150.11,Winter 2019,
Interpersonal Theory & Practice,36282,C.Online.2019.Winter.COMM 150.12,Winter 2019,
Interpersonal Theory & Practice,36284,C.Online.2019.Winter.COMM 150.13,Winter 2019,
Interpersonal Theory & Practice,36286,C.Online.2019.Winter.COMM 150.14,Winter 2019,
Interpersonal Theory & Practice,36288,C.Online.2019.Winter.COMM 150.15,Winter 2019,
Interpersonal Theory & Practice,37332,C.Online.2019.Winter.COMM 150.16,Winter 2019,
Communication Essentials,35712,C.Online.2019.Winter.COMM 175.6,Winter 2019,Study Group 1|Study Group 2|Study Group 3|
Professional Presentations,35714,C.Online.2019.Winter.COMM 273.9,Winter 2019,COMM 273 Weeks 2-5|COMM 273 Weeks 10-13|COMM 273 Weeks 6-9|
Ethics and Legal Issues,36290,C.Online.2019.Winter.COMM 307.3,Winter 2019,In Other Words Lesson 09|In Other Words Lesson 06|In Other Words Lesson 03|Meeting Groups|
Ethics and Legal Issues,36292,C.Online.2019.Winter.COMM 307.4,Winter 2019,In Other Words Lesson 09|In Other Words Lesson 06|In Other Words Lesson 03|Meeting Groups|
Creating Online Media,35884,C.Online.2019.Winter.COMM 310.3,Winter 2019,
Creating Online Media,35886,C.Online.2019.Winter.COMM 310.4,Winter 2019,
Creating Online Media,35888,C.Online.2019.Winter.COMM 310.5,Winter 2019,
Creating Online Media,35890,C.Online.2019.Winter.COMM 310.6,Winter 2019,
Construction Safety,37210,C.Online.2019.Winter.CONST 320.2,Winter 2019,CONST 320 Safety Meeting Project Group|
Construction Safety,37212,C.Online.2019.Winter.CONST 320.3,Winter 2019,CONST 320 Safety Meeting Project Group|
Construction Estimating,38596,C.Online.2019.Winter.CONST 330.2,Winter 2019,CONST 330 Study Group|
Intro to Programming,36294,C.Online.2019.Winter.CS 101.4,Winter 2019,CS 101 Final Project Group|
Intro to Programming,36296,C.Online.2019.Winter.CS 101.5,Winter 2019,CS 101 Final Project Group|
Intro to Programming,36298,C.Online.2019.Winter.CS 101.6,Winter 2019,CS 101 Final Project Group|
Intro to Programming,39076,C.Online.2019.Winter.CS 101.7,Winter 2019,CS 101 Final Project Group|
Intro to Software Development,36300,C.Online.2019.Winter.CS 124.16,Winter 2019,
Intro to Software Development,36302,C.Online.2019.Winter.CS 124.18,Winter 2019,
Intro to Software Development,36304,C.Online.2019.Winter.CS 124.19,Winter 2019,
Intro to Software Development,36306,C.Online.2019.Winter.CS 124.20,Winter 2019,
Intro to Software Development,37334,C.Online.2019.Winter.CS 124.21,Winter 2019,
